configuration,resencm_weight,dtk10_weight,msl_weight,threshold,mode,mean_dice,mean_lesion_f1,mean_lesion_count_difference,mean_absolute_volume_difference_ml,missed_cases,tiny_recall,small_recall,medium_recall,large_recall
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s100_c060,0.375,0.375,0.25,0.35,pp_s100_c060,0.6666387437821792,0.6159850639782364,1.7763248451479696,5.215462178984039,76,0.24856870229007633,0.6345895020188426,0.8619186046511628,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s100_c065,0.375,0.375,0.25,0.35,pp_s100_c065,0.6657251206583391,0.6168675569684131,1.791465932553338,5.215664225331417,80,0.2342557251908397,0.6184387617765814,0.8604651162790697,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s10_c060,0.375,0.375,0.25,0.35,pp_s10_c060,0.6675148574612668,0.6005756154966124,1.8169304886441844,5.2156063323586,65,0.2633587786259542,0.6689098250336474,0.8648255813953488,0.9858490566037735
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c060,0.375,0.375,0.25,0.35,pp_s200_c060,0.6666962094688801,0.6173030551403165,1.7790777701307638,5.215389297401828,77,0.24856870229007633,0.629878869448183,0.8575581395348837,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c065,0.375,0.375,0.25,0.35,pp_s200_c065,0.6649607093697628,0.6173040983372157,1.8017894012388163,5.215549299128818,83,0.2342557251908397,0.6063257065948856,0.8546511627906976,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s200_c070,0.375,0.375,0.25,0.35,pp_s200_c070,0.6644850980173245,0.6197796012374076,1.8107364074328975,5.215540550774531,85,0.22805343511450382,0.598250336473755,0.8546511627906976,0.9811320754716981
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s300_c060,0.375,0.375,0.25,0.35,pp_s300_c060,0.6666186855330198,0.6178590701593086,1.781830695113558,5.216000797366058,77,0.24856870229007633,0.6278600269179004,0.8575581395348837,0.9827044025157232
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s300_c065,0.375,0.375,0.25,0.35,pp_s300_c065,0.6648987928315268,0.6181691908757223,1.8059187887130075,5.2160902228800134,83,0.23377862595419846,0.6036339165545087,0.8546511627906976,0.9811320754716981
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__pp_s50_c060,0.375,0.375,0.25,0.35,pp_s50_c060,0.6666007566588169,0.613827577067065,1.7721954576737784,5.215336859442999,76,0.25095419847328243,0.6453566621803499,0.8619186046511628,0.9842767295597484
c00_r0.3750_d0.3750_m0.2500_i0.0000_t0.350__raw,0.375,0.375,0.25,0.35,raw,0.6660439275756828,0.5681693799985444,1.9353062629043358,5.215703848403557,61,0.2848282442748092,0.680349932705249,0.8706395348837209,0.9858490566037735
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s100_c060,0.3,0.3,0.3,0.425,pp_s100_c060,0.6649439445950214,0.6062001742829105,1.792842395044735,5.089471901943763,74,0.25047709923664124,0.6413189771197847,0.8604651162790697,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s100_c065,0.3,0.3,0.3,0.425,pp_s100_c065,0.6661090784821345,0.613372182289319,1.781830695113558,5.089648261411664,76,0.24427480916030533,0.6345895020188426,0.8590116279069767,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s10_c060,0.3,0.3,0.3,0.425,pp_s10_c060,0.6655035702061851,0.5910316670049525,1.8272539573296627,5.089875531831052,71,0.2652671755725191,0.6655450874831763,0.8633720930232558,0.9858490566037735
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c060,0.3,0.3,0.3,0.425,pp_s200_c060,0.665081410413921,0.6081349489981396,1.7969717825189264,5.089412637136577,74,0.25,0.6386271870794078,0.8590116279069767,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c065,0.3,0.3,0.3,0.425,pp_s200_c065,0.6662475462977367,0.6154162058638474,1.7894012388162424,5.0898503522391,76,0.2433206106870229,0.629878869448183,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s200_c070,0.3,0.3,0.3,0.425,pp_s200_c070,0.6646731245733799,0.6167500994579757,1.8017894012388163,5.091079538528537,84,0.22948473282442747,0.6056527590847914,0.8546511627906976,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s300_c060,0.3,0.3,0.3,0.425,pp_s300_c060,0.6651445525421351,0.608642929203298,1.7962835512732278,5.089300215892594,74,0.25,0.6386271870794078,0.8590116279069767,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s300_c065,0.3,0.3,0.3,0.425,pp_s300_c065,0.666321930255477,0.6161059076891308,1.7873365450791465,5.089831153555855,76,0.2433206106870229,0.6292059219380888,0.8561046511627907,0.9827044025157232
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__pp_s50_c060,0.3,0.3,0.3,0.425,pp_s50_c060,0.665160424336749,0.6030620482594042,1.7949070887818306,5.089322613071182,73,0.25190839694656486,0.6493943472409152,0.8619186046511628,0.9842767295597484
c01_r0.3000_d0.3000_m0.3000_i0.1000_t0.425__raw,0.3,0.3,0.3,0.425,raw,0.665363005317152,0.5600367600106988,1.9387474191328287,5.089891293436933,68,0.2848282442748092,0.6796769851951547,0.8648255813953488,0.9858490566037735
c02_r0.3000_d0.3000_m0.3000_i0.1000_t0.438__pp_s100_c060,0.3,0.3,0.3,0.4375,pp_s100_c060,0.6649090125247122,0.6060176849056517,1.7976600137646248,5.071816621829629,74,0.24856870229007633,0.639300134589502,0.8590116279069767,0.9827044025157232
